mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_train_rmse,split1_train_rmse,split2_train_rmse,split3_train_rmse,split4_train_rmse,mean_train_rmse,std_train_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_train_mae,split1_train_mae,split2_train_mae,split3_train_mae,split4_train_mae,mean_train_mae,std_train_mae,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2
8.886181211471557,0.4763699792301113,0.03713078498840332,0.0019319737070646308,,1,2,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-5.546760613981693,-5.316850268031305,-5.281421775848566,-5.524094753525405,-5.360804440712942,-5.405986370419981,0.10887604654099735,7,-2.020334771437289,-2.0312006633392476,-2.0352007097261566,-2.0460614196295936,-2.0306218789241575,-2.032683888611289,0.008297532896043014,-4.496174512671567,-4.194585183171657,-4.281421706794459,-4.439843044211115,-4.285394590589088,-4.339483807487578,0.11128020105753128,6,-1.6028342642336861,-1.6214983889199233,-1.609421297056594,-1.6250516604063545,-1.6221436498820656,-1.6161898520997249,0.008559731097262711,0.25624510186289784,0.24909871973364528,0.2915047588911739,0.22303397282534831,0.2671440062261802,0.2574053119078491,0.02240245059280644,7,0.8950984707344426,0.8964580940285088,0.8949162421714107,0.8938063000199592,0.8954579330736744,0.8951474080055991,0.0008565893762013954
35.23929915428162,0.4510047213286035,0.09438924789428711,0.008515535532838592,,1,2,300,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300}",-5.520933581507332,-5.312490745173583,-5.271288764742757,-5.49105996233565,-5.367507765760367,-5.392656163903938,0.09790544957389735,2,-1.9951895433406186,-1.9996063775723105,-2.007760378175224,-1.9996001639167815,-2.0023982238475204,-2.0009109373704907,0.004129920419604497,-4.476301489157844,-4.20284392593163,-4.268127680716663,-4.418919767691113,-4.27718330401394,-4.3286752335022385,0.10206716438261654,2,-1.588716876332894,-1.6053034107327135,-1.59812166412311,-1.602336835749208,-1.607128954385716,-1.6003215482647284,0.0065533047582593896,0.26315517513048425,0.2503296098496516,0.2942208090014259,0.23229889890352118,0.265310086181596,0.2610629158133358,0.02031961816352942,2,0.897693444562642,0.8996541254926507,0.8977307989874195,0.8985743622475704,0.898343802005458,0.898399306659148,0.0007146242840788279
11.208701276779175,0.42270922132334154,0.030094432830810546,0.002309123325455094,,1,5,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-5.522471062471693,-5.32568192888485,-5.270650069016825,-5.514291934503839,-5.3714565162594745,-5.400910302227336,0.10112069519986885,5,-2.237884776991789,-2.2485345592922137,-2.2551128631764894,-2.258326845191248,-2.2500849611634037,-2.2499888011630285,0.006991572885077785,-4.4753375205595445,-4.210298940999518,-4.269091029167887,-4.418400900456463,-4.294604913509168,-4.3335466609385165,0.09814874269821595,5,-1.7413202366124625,-1.7641993663519941,-1.7491500370902826,-1.764653017785439,-1.7643792042369295,-1.7567403724154218,0.00971588469903301,0.2627447218550527,0.24660204859531065,0.2943918301173586,0.22578906656372488,0.264228700022868,0.25875127343086296,0.02258455161816405,5,0.8712905048992037,0.8731151912069284,0.8709798125757396,0.8706295722721636,0.8716396791451819,0.8715309520198435,0.0008597313933872833
33.129985904693605,1.0712456099053536,0.07186899185180665,0.003460371356450398,,1,5,300,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 300}",-5.516987063940033,-5.3138620107412775,-5.272245609230538,-5.486215202914488,-5.372436105323366,-5.39234919842994,0.09521246385188285,1,-2.216935229867844,-2.2190728928733585,-2.228525468578729,-2.21989669026508,-2.221880538340376,-2.2212621639850774,0.003962770894183474,-4.469857285637568,-4.202266717913572,-4.270027488164075,-4.411142465642555,-4.28304545119283,-4.32726788171012,0.09820800467057458,1,-1.7292627392773396,-1.7466560953059056,-1.7359635280438441,-1.7431474127143958,-1.746826324975149,-1.7403712200633268,0.006807369186176367,0.26420823315168007,0.24994254851955378,0.29396455962835,0.23365298586940675,0.2639603112763603,0.2611457276890702,0.019878323000716173,1,0.8736890061156869,0.8764184516014496,0.8740041306063295,0.8749951258553244,0.8748374594336185,0.8747888347224817,0.0009514152700550977
10.515827941894532,0.4274724387553789,0.028008365631103517,0.0011488627422036677,,2,2,100,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-5.537011240006527,-5.327850506254585,-5.286630791054565,-5.513428536228203,-5.377069188996912,-5.408398052508159,0.0998693400070742,8,-2.2652135380692364,-2.2743776132227858,-2.29327574991688,-2.28258210034341,-2.2743777807487646,-2.277965356460215,0.009424159858369559,-4.496878227058097,-4.21670927040313,-4.276314216401184,-4.422379040220404,-4.302710413778401,-4.342998233572243,0.10197954073975825,8,-1.7529375894500876,-1.7735499930732066,-1.7699409094860596,-1.769505941746701,-1.7744041348202688,-1.7680677137152645,0.007806454277382165,0.2588573552456467,0.2459883677914272,0.2901065056843435,0.22603149118015797,0.2626902714604631,0.2567347982724077,0.02103246347468447,8,0.86812774287645,0.8701817831253165,0.86657609066426,0.8678356773983295,0.8688530581743608,0.8683148704477434,0.001188529075518136
31.21731033325195,1.1320643577286216,0.07220492362976075,0.0024502721129932444,,2,2,300,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 300}",-5.523727162303582,-5.32584738368651,-5.279778404234501,-5.4831645817596035,-5.371444896363956,-5.39679248566963,0.09267206067445898,4,-2.2435917009576074,-2.2433467804292024,-2.26022139823366,-2.244889847624973,-2.249466285661077,-2.2483032025813037,0.006353133242993357,-4.482063344427732,-4.206008436236064,-4.279522440093013,-4.413875892100513,-4.28012261603029,-4.332318545777523,0.10053973651451754,4,-1.737663023925532,-1.755517768668778,-1.751510946425267,-1.749181450567142,-1.7589910149802506,-1.7505728409133936,0.007277325729043662,0.26240930260577155,0.2465552357189097,0.2919456022366981,0.23450500656055684,0.26423188335921555,0.25992940609623033,0.01936474393134387,4,0.8706332128934278,0.8737000085268691,0.8703946084383275,0.8721644949541967,0.8717102564520307,0.8717205162529703,0.001187928629311246
10.29350471496582,0.3071164822130507,0.028120756149291992,0.0006921907204361748,,2,5,100,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-5.52581707724469,-5.32317762239431,-5.294561746650815,-5.50196874772109,-5.378971159068224,-5.404899270615826,0.09334737628516426,6,-2.34019984997322,-2.3508255244394443,-2.3662677444890927,-2.3593578600492613,-2.3507642906608957,-2.3534830539223828,0.008818835565931434,-4.482403766870487,-4.214140898027608,-4.286047354170357,-4.416014400996162,-4.305147237161386,-4.340750731445199,0.09593781382541056,7,-1.8001618855143948,-1.8262768295001388,-1.8183299890510836,-1.8225062366200808,-1.8267343726805967,-1.818801862673259,0.009799935138720477,0.26185105872840697,0.24731042577673445,0.2879749564455154,0.229245570266421,0.2621685786925948,0.2577101179819345,0.019346161293717093,6,0.8592523874163536,0.861308038400789,0.8579475032069416,0.8587953312155758,0.8598958079771648,0.859439813643365,0.0011292184204721744
30.974454259872438,0.7655567087673372,0.07025308609008789,0.0022020974435087407,,2,5,300,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 300}",-5.520948007888022,-5.319210715502976,-5.285804665675187,-5.477952984994715,-5.36932003957932,-5.3946472827280445,0.09063175316985919,3,-2.3231690387404678,-2.3208731729702192,-2.335221000021362,-2.3230308150427668,-2.3271364762778277,-2.3258861006105285,0.005086615981690241,-4.478759365941421,-4.201791040555854,-4.283639763264463,-4.4075201735828875,-4.278353110626797,-4.330012690794285,0.0993910815679023,3,-1.7897200699262128,-1.807429444753638,-1.800521726019084,-1.8025758272934536,-1.8113286710613052,-1.8023151478107386,0.00733920890888681,0.26315132432601984,0.2484318375056771,0.29032835405366,0.2359594787873831,0.26481388417146046,0.2605369757688401,0.018238644216146606,3,0.8612935154565032,0.8648197289917798,0.8616506640191937,0.863110114151332,0.8626980620902567,0.8627144169418131,0.0012441634861916494
4.107903385162354,0.11412207098982338,0.01606297492980957,0.0013465310110289924,5,1,2,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-5.776086221661333,-5.538120846777595,-5.519795050760204,-5.675167882985627,-5.613028736111943,-5.62443974765934,0.0939166366667787,23,-5.2135922983776215,-5.264395215229874,-5.268405175220252,-5.224385697397703,-5.24224232268951,-5.2426041417829925,0.02151406003083588,-4.678186938697517,-4.402984220275407,-4.486848983165446,-4.557082243081287,-4.479870176764808,-4.520994512396894,0.09251523159620906,23,-4.193868881272074,-4.236889662835731,-4.227040961766806,-4.206563283309939,-4.226055133262813,-4.218083584489473,0.015598192020062391,0.19347408293936463,0.185297889713271,0.22610660613049582,0.17995588213638103,0.1965603768078562,0.19627896754547375,0.016029109644734925,23,0.3014310544244577,0.304483452317605,0.2958268857110832,0.3076401367426418,0.3032657746334829,0.3025294607658541,0.003914339251811176
12.266928768157959,0.40406659900915115,0.03377094268798828,0.0013481293971145227,5,1,2,300,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300}",-5.7720031076474125,-5.527994619633133,-5.530008670590513,-5.6667726954309305,-5.610872019780258,-5.62153022261645,0.0915725627841622,20,-5.205082543714342,-5.262099030861677,-5.269026116011121,-5.225184089527206,-5.235622473673125,-5.239402850757495,0.023609330075071797,-4.673785893683853,-4.393876726425147,-4.492289406082716,-4.55085412011606,-4.474314010002726,-4.517024031262101,0.09308057016278909,20,-4.186379955659779,-4.237430139356831,-4.228156290220789,-4.2075415549104465,-4.217943239620134,-4.215490235953595,0.0176544355227863,0.19461394588088565,0.1882744648323672,0.223239990357041,0.18238024465874103,0.1971776757883733,0.19713726430348164,0.014028826890638698,20,0.30370963644599935,0.30509005036662473,0.29566088648993183,0.30742850730514615,0.305024321044001,0.30338268033034066,0.004042568812004418
